cik,company,form,filing_date,document
0000320193,Apple Inc.,4,2026-02-26,xslF345X05/wk-form4_1772148856.xml
0000320193,Apple Inc.,4,2026-02-26,xslF345X05/wk-form4_1772148826.xml
0000320193,Apple Inc.,4,2026-02-26,xslF345X05/wk-form4_1772148791.xml
0000320193,Apple Inc.,4,2026-02-26,xslF345X05/wk-form4_1772148758.xml
0000320193,Apple Inc.,4,2026-02-26,xslF345X05/wk-form4_1772148721.xml
0000320193,Apple Inc.,4,2026-02-26,xslF345X05/wk-form4_1772148681.xml
0000320193,Apple Inc.,4,2026-02-26,xslF345X05/wk-form4_1772148630.xml
0000320193,Apple Inc.,8-K,2026-02-24,ef20060722_8k.htm
0000320193,Apple Inc.,4,2026-02-03,xslF345X05/wk-form4_1770161827.xml
0000320193,Apple Inc.,4,2026-02-03,xslF345X05/wk-form4_1770161790.xml
0000320193,Apple Inc.,4,2026-02-03,xslF345X05/wk-form4_1770161752.xml
0000320193,Apple Inc.,4,2026-02-03,xslF345X05/wk-form4_1770161713.xml
0000320193,Apple Inc.,4,2026-02-03,xslF345X05/wk-form4_1770161657.xml
0000320193,Apple Inc.,4,2026-02-03,xslF345X05/wk-form4_1770161602.xml
0000320193,Apple Inc.,4,2026-02-03,xslF345X05/wk-form4_1770161527.xml
0000320193,Apple Inc.,10-Q,2026-01-30,aapl-20251227.htm
0000320193,Apple Inc.,8-K,2026-01-29,aapl-20260129.htm
0000320193,Apple Inc.,PX14A6G,2026-01-22,nlpc_px14a6g.htm
0000320193,Apple Inc.,DEFA14A,2026-01-08,aapl014016-defa14a.htm
0000320193,Apple Inc.,DEF 14A,2026-01-08,aapl014016-def14a.htm
0000320193,Apple Inc.,3,2026-01-02,xslF345X02/wk-form3_1767396618.xml
0000320193,Apple Inc.,8-K,2026-01-02,ef20060722_8k.htm
0000320193,Apple Inc.,8-K,2025-12-05,ef20060722_8k.htm
0000320193,Apple Inc.,4,2025-11-14,xslF345X05/wk-form4_1763163012.xml
