cik,company,form,filing_date,document
0000320193,Apple Inc.,8-K,2026-02-24,ef20060722_8k.htm
0000320193,Apple Inc.,10-Q,2026-01-30,aapl-20251227.htm
0000320193,Apple Inc.,8-K,2026-01-29,aapl-20260129.htm
0000320193,Apple Inc.,DEFA14A,2026-01-08,aapl014016-defa14a.htm
0000320193,Apple Inc.,DEF 14A,2026-01-08,aapl014016-def14a.htm
0000320193,Apple Inc.,8-K,2026-01-02,ef20060722_8k.htm
0000320193,Apple Inc.,8-K,2025-12-05,ef20060722_8k.htm
0000320193,Apple Inc.,10-K,2025-10-31,aapl-20250927.htm
0000320193,Apple Inc.,8-K,2025-10-30,aapl-20251030.htm
0000320193,Apple Inc.,10-Q,2025-08-01,aapl-20250628.htm
0000320193,Apple Inc.,8-K,2025-07-31,aapl-20250731.htm
0000320193,Apple Inc.,SCHEDULE 13G/A,2025-07-29,xslSCHEDULE_13G_X01/primary_doc.xml
0000320193,Apple Inc.,8-K,2025-07-25,ef20052355_8k.htm
0000320193,Apple Inc.,8-K,2025-07-09,ef20051741_8k.htm
0000320193,Apple Inc.,8-K,2025-05-12,ef20048691_8k.htm
0000320193,Apple Inc.,10-Q,2025-05-02,aapl-20250329.htm
0000320193,Apple Inc.,8-K,2025-05-01,aapl-20250501.htm
0000320193,Apple Inc.,8-K,2025-02-25,ef20044022_8k.htm
0000320193,Apple Inc.,10-Q,2025-01-31,aapl-20241228.htm
0000320193,Apple Inc.,8-K,2025-01-30,aapl-20250130.htm
0000320193,Apple Inc.,DEFA14A,2025-01-10,aapl4359751-defa14a.htm
0000320193,Apple Inc.,DEF 14A,2025-01-10,aapl4359751-def14a.htm
0000320193,Apple Inc.,8-K,2025-01-03,ef20040370_8k.htm
0000320193,Apple Inc.,10-K,2024-11-01,aapl-20240928.htm
0000320193,Apple Inc.,8-K,2024-10-31,aapl-20241031.htm
0000320193,Apple Inc.,8-K,2024-09-10,ef20035718_8k.htm
0000320193,Apple Inc.,8-K,2024-08-26,ny20033611x3_8k.htm
0000320193,Apple Inc.,8-K,2024-08-23,ny20033611x2_8k.htm
0000320193,Apple Inc.,10-Q,2024-08-02,aapl-20240629.htm
0000320193,Apple Inc.,8-K,2024-08-01,aapl-20240801.htm
0000320193,Apple Inc.,8-K,2024-05-03,ef20028273_8k.htm
0000320193,Apple Inc.,10-Q,2024-05-03,aapl-20240330.htm
0000320193,Apple Inc.,8-K,2024-05-02,aapl-20240502.htm
0000320193,Apple Inc.,8-K,2024-02-28,ny20022580x1_8k.htm
0000320193,Apple Inc.,SC 13G/A,2024-02-14,d751537dsc13ga.htm
0000320193,Apple Inc.,SC 13G/A,2024-02-13,tv0017-appleinc.htm
0000320193,Apple Inc.,SC 13G/A,2024-02-12,us0378331005_021224.txt
0000320193,Apple Inc.,10-Q,2024-02-02,aapl-20231230.htm
0000320193,Apple Inc.,8-K,2024-02-01,aapl-20240201.htm
0000320193,Apple Inc.,DEFA14A,2024-01-11,laapl2024_defa14a.htm
0000320193,Apple Inc.,DEF 14A,2024-01-11,laapl2024_def14a.htm
0000320193,Apple Inc.,10-K,2023-11-03,aapl-20230930.htm
0000320193,Apple Inc.,8-K,2023-11-02,aapl-20231102.htm
0000320193,Apple Inc.,10-Q,2023-08-04,aapl-20230701.htm
0000320193,Apple Inc.,8-K,2023-08-03,aapl-20230803.htm
0000320193,Apple Inc.,8-K,2023-05-10,ny20007635x4_8k.htm
0000320193,Apple Inc.,10-Q,2023-05-05,aapl-20230401.htm
0000320193,Apple Inc.,8-K,2023-05-04,aapl-20230504.htm
0000320193,Apple Inc.,8-K,2023-03-10,brhc10049413_8k.htm
0000320193,Apple Inc.,SC 13G/A,2023-02-14,d382361dsc13ga.htm
0000320193,Apple Inc.,SC 13G/A,2023-02-09,tv0017-appleinc.htm
0000320193,Apple Inc.,SC 13G/A,2023-02-07,us0378331005_020723.txt
0000320193,Apple Inc.,DEFA14A,2023-02-03,brhc10047294_defa14a.htm
0000320193,Apple Inc.,10-Q,2023-02-03,aapl-20221231.htm
0000320193,Apple Inc.,8-K,2023-02-02,aapl-20230202.htm
0000320193,Apple Inc.,DEFA14A,2023-01-12,laap2023_def14a.htm
0000320193,Apple Inc.,DEF 14A,2023-01-12,laap2023_def14a.htm
0000320193,Apple Inc.,8-K,2022-11-07,d400465d8k.htm
0000320193,Apple Inc.,10-K,2022-10-28,aapl-20220924.htm
0000320193,Apple Inc.,8-K,2022-10-27,aapl-20221027.htm
0000320193,Apple Inc.,8-K,2022-08-19,d366128d8k.htm
0000320193,Apple Inc.,8-K,2022-08-08,d297151d8k.htm
0000320193,Apple Inc.,10-Q,2022-07-29,aapl-20220625.htm
0000320193,Apple Inc.,8-K,2022-07-28,aapl-20220728.htm
0000320193,Apple Inc.,10-Q,2022-04-29,aapl-20220326.htm
0000320193,Apple Inc.,8-K,2022-04-28,aapl-20220428.htm
0000320193,Apple Inc.,8-K,2022-03-04,d294699d8k.htm
0000320193,Apple Inc.,SC 13G/A,2022-02-09,tv0011-appleinc.htm
0000320193,Apple Inc.,SC 13G/A,2022-02-01,us0378331005_012822.txt
0000320193,Apple Inc.,10-Q,2022-01-28,aapl-20211225.htm
0000320193,Apple Inc.,8-K,2022-01-27,aapl-20220127.htm
0000320193,Apple Inc.,DEFA14A,2022-01-06,d399129ddefa14a.htm
0000320193,Apple Inc.,DEF 14A,2022-01-06,d222670ddef14a.htm
0000320193,Apple Inc.,8-K,2021-11-12,d259993d8k.htm
0000320193,Apple Inc.,10-K,2021-10-29,aapl-20210925.htm
0000320193,Apple Inc.,8-K,2021-10-28,aapl-20211028.htm
0000320193,Apple Inc.,8-K,2021-08-05,d199884d8k.htm
0000320193,Apple Inc.,10-Q,2021-07-28,aapl-20210626.htm
