cik,company,form,filing_date,document,accession_number,accession_nodash,filing_url
0000320193,Apple Inc.,8-K,2026-02-24,ef20060722_8k.htm,0001140361-26-006577,000114036126006577,https://www.sec.gov/Archives/edgar/data/320193/000114036126006577/ef20060722_8k.htm
0000320193,Apple Inc.,10-Q,2026-01-30,aapl-20251227.htm,0000320193-26-000006,000032019326000006,https://www.sec.gov/Archives/edgar/data/320193/000032019326000006/aapl-20251227.htm
0000320193,Apple Inc.,8-K,2026-01-29,aapl-20260129.htm,0000320193-26-000005,000032019326000005,https://www.sec.gov/Archives/edgar/data/320193/000032019326000005/aapl-20260129.htm
0000320193,Apple Inc.,DEFA14A,2026-01-08,aapl014016-defa14a.htm,0001308179-26-000009,000130817926000009,https://www.sec.gov/Archives/edgar/data/320193/000130817926000009/aapl014016-defa14a.htm
0000320193,Apple Inc.,DEF 14A,2026-01-08,aapl014016-def14a.htm,0001308179-26-000008,000130817926000008,https://www.sec.gov/Archives/edgar/data/320193/000130817926000008/aapl014016-def14a.htm
0000320193,Apple Inc.,8-K,2026-01-02,ef20060722_8k.htm,0001140361-26-000199,000114036126000199,https://www.sec.gov/Archives/edgar/data/320193/000114036126000199/ef20060722_8k.htm
0000320193,Apple Inc.,8-K,2025-12-05,ef20060722_8k.htm,0001140361-25-044561,000114036125044561,https://www.sec.gov/Archives/edgar/data/320193/000114036125044561/ef20060722_8k.htm
0000320193,Apple Inc.,10-K,2025-10-31,aapl-20250927.htm,0000320193-25-000079,000032019325000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
0000320193,Apple Inc.,8-K,2025-10-30,aapl-20251030.htm,0000320193-25-000077,000032019325000077,https://www.sec.gov/Archives/edgar/data/320193/000032019325000077/aapl-20251030.htm
0000320193,Apple Inc.,10-Q,2025-08-01,aapl-20250628.htm,0000320193-25-000073,000032019325000073,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/aapl-20250628.htm
0000320193,Apple Inc.,8-K,2025-07-31,aapl-20250731.htm,0000320193-25-000071,000032019325000071,https://www.sec.gov/Archives/edgar/data/320193/000032019325000071/aapl-20250731.htm
0000320193,Apple Inc.,8-K,2025-07-25,ef20052355_8k.htm,0001140361-25-027340,000114036125027340,https://www.sec.gov/Archives/edgar/data/320193/000114036125027340/ef20052355_8k.htm
0000320193,Apple Inc.,8-K,2025-07-09,ef20051741_8k.htm,0001140361-25-025275,000114036125025275,https://www.sec.gov/Archives/edgar/data/320193/000114036125025275/ef20051741_8k.htm
0000320193,Apple Inc.,8-K,2025-05-12,ef20048691_8k.htm,0001140361-25-018400,000114036125018400,https://www.sec.gov/Archives/edgar/data/320193/000114036125018400/ef20048691_8k.htm
0000320193,Apple Inc.,10-Q,2025-05-02,aapl-20250329.htm,0000320193-25-000057,000032019325000057,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/aapl-20250329.htm
0000320193,Apple Inc.,8-K,2025-05-01,aapl-20250501.htm,0000320193-25-000055,000032019325000055,https://www.sec.gov/Archives/edgar/data/320193/000032019325000055/aapl-20250501.htm
